מְשַׁעְמֵם	mesha'amèm	boring
עָסוּק	asùk	busy
דובדבן		cherry 🍒
סַכּוּ"ם	sakùm	cutlery
תֵּיאוּר	te'ùr	description
צִיּוּר	tziyùr	drawing
נְקֵבָה	nekevà	feminine, female
בראש ובראשונה		first and foremost
יַעַר	yà'ar	forest
אוֹרֵחַ	orèach	guest
מְחַיֵּיךְ	mechayèch	he smiles
בִּיטּוּחַ	bitùach	insurance
עִנְיָין	inyàn	interest
סַכִּין	sakìn	knife
עַצְלָן	atzlàn	lazy
נָמוּךְ	namùch	low
מצב רוח		mood
אחת ולתמיד		once for all
נייר	neyar	paper
מוּתָּר	mutàr	permitted
הֲנָאָה	hana'à	pleasure
ים סוף	yam suf	red sea
טַבַּעַת	tabà'at	ring
אָמוּר	amùr	should, supposed to
מִקְלַחַת	miklàchat	shower
ערב השנה החדשה		Silvester
בקרוב		soon
חָרִיף	charìf	spicy (hot)
בָּטוּחַ	batùach	sure, secure
לַעֲרוֹךְ	la'aròch	to arrange, organize; edit
לְהַסְפִּיק	lehaspìk	to be sufficient; manage
לְהַשְׁווֹת	lehashvòt	to compare
לֵיהָנות	lehanòt	to enjoy
לְהִתְרַגֵּשׁ	lehitragèsh	to get excited
לַחֲלוֹף	lachalòf	to move past
לְהַשִּׂיג	lehasìg	to obtain, achieve (goal)
לְהַנִּיחַ	lehanìach	to place, put; assume, guess
לְהַמְלִיץ	lehamlìtz	to recommend, advise, suggest
לְחַיֵּיךְ	lechayèch	to smile
לְהַפְסִיק	lehafsìk	to stop, quit
לְהִתְרַחֵץ	lehitrachètz	to wash oneself, bathe
לִרְחוֹץ	lirchòtz	to wash, bathe
לִשְׁטוֹף	lishtòf	to wash, rinse
מַגֶּבֶת	magèvet	towel
מְכוֹעָר	mecho'àr	ugly
אֵילוּ	èilu	which (pl.)?
מִגְרָשׁ	migràsh	(playing) field
הֶישֵּׂג	hesèg	achievement
הַרְפַּתְקָה		adventure
כֹּל עוֹד		as long as
כָּרָאוּי		as required, properly
פָּגוּם	pagùm	defective, damaged, flawed
מִפְלֶצֶת	miflètzet	monster
כָּתֵף	katèf	shoulder
סִיכּוּם	sikùm	summary, conclusion
לַעֲקוֹף	la'akòf	to evade, bypass
לְהִתְרַחֵשׁ	lehitrachèsh	to happen, occur
קליטה		absorption
מקרי		accidental
מְלוּוֶה		accompanied
חָמוּשׁ	chamùsh	armed
הֶסדֵר		arrangement, settlement
חץ		arrow
הֶיבֵּט	hebèt	aspect
דְבוֹרָה		bee
פְּצָצָה	ptzatzà	bomb
תחתית		bottom
זֵר		bouquet 💐
שׁוֹר	shòr	bull
קָהִיר		Cairo
שָׁלֵו		calm, peaceful
פַּחמָן		carbon
שַׁרְשֶׁרֶת	sharshèret	chain, necklace
עיירה		city hall
עִירוֹנִי		city resident
חַמוּלָה		clan
תואר אקדמי		college degree
צבעוני		colourful
ריכוז		concentration
בַּיִת מְשׁוּתָף		condominium
סְמִיכוּת		construct state
מגניב		cool (slang)
חֲמוּדִי		cutie, sweetheart
רקדן		dancer
שָׁחוּם		dark brown
גָּלוּת	galùt	diaspora
בַּמַּאי	bamày	director (film)
מֶרְחָק עַד לְיַעַד		distance to destination
מרוחק		distant
בובה		doll
סם		drug
מזרחי		eastern
חַשׁמַלַאי		electrician
עובד		employee
יֵשׁוּת		entity, being; existence
מאולץ		forced
לָעַד		forever
קֶרֶן	kèren	fund, foundation
עֶקְרוֹנִי		fundamental, basic
בְּנוֹסַף על כך		furthermore
עָתִידִי		future (adj.)
חֲבוּרָה		gang
גַנָן		gardener
גַּלְגַּל שִׁנַּיִם		gear wheel
אֶבֶן חֵן		gem, jewel
עֲנָקִי		gigantic, immense
נתון		given
דָגָן		grain, corn, cereal
נִין		great-grandson
מְהִירוּת קַרקַע		ground velocity
משמר		guard
אֵינְסוֹפִי		infinite
אֵינְסוֹף		infinity
הַשְׁפָּעָה	hashpa'à	influence
תַּשְׁתִּית	tashtìt	infrastructure
הִיפּוּךְ		inversion
יֵשׁוּ		Jesus
בית משפט		lawcourt
ברק		lightning
הֶגיוֹנִי		logical, reasonable
זמן רב		long time
מַבָּט	mabàt	look, sight
רם		loud
המַעֲמָד הנָמוּך		lower class
עָשׂוּי מ־		made of
טֵירוּף	terùf	madness
כְּתַב עֵת		magazine, journal
יָם תִיכוֹנִי		mediterranean (adj)
תִיכוֹנִי		middle (adj.)
לַחוּת		moisture
בְּשׂוֹרָה		news
יוֹנָה		pigeon
טַיָיס		pilot
תַּעֲמוּלָה	ta'amulà	propaganda
זוֹנָה		prostitute
גֶּזַע	gèza	race (biology)
גִּזְעָנוּת	giz'anùt	racism
מְקַבֵּל		receiver
גיוס		recruitment
יַחֲסִית		relatively
